주,기  간,일수,공휴일,수업일수,행사일,토요휴업일,월,,,,,,,,화,,,,,,,,수,,,,,,,,목,,,,,,,,금,,,,,,,,토,,,,,,,,금,수,즐,슬,소계,,창의총시수,,,,,,,비  고,진도표에서 작성함(창체),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,교과활동,,,,,,,,,,,,,,,"학교
자율
과정",,,,창의적체험활동,,,,,,창체,계
,,,,,,,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,국,수,슬,즐,소계,창,,총,,,,,,자율,동아,봉사,진로, ,,보건,한자,독서,환경,외국,안전,인성,문화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국어,수학,바생,슬생,즐생,사회,도덕,수학,과학,실과,체육,음악,미술,영어,,,,,,자율,동아리,봉사,진로,안전,,소계,계
1, 8.24- 8.28,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
2, 8.31- 9. 4,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
3, 9. 7- 9.11,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,3,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
4, 9.14- 9.18,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,4,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
5, 9.21- 9.25,5,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,추,석,연,휴,,,,,추,석,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.24(목) 추석연휴
9.25(금) 추석",0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,5,1,3,2,3,2,2,1,0,1,2,17,0,0,17,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,1,2,2,1,2,1,0,2,,0,,,,.,.,.,.,,,0,17
6, 9.28-10. 2,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,6,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
7,10. 5-10. 9,5,2,3,0,,대,체,휴,일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한,글,날,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.5(월) 대체휴일
10.9(금) 한글날",0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,7,1,2,2,2,2,2,1,2,1,2,17,0,0,17,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,1,2,2,1,2,1,2,2,,0,,,,.,.,.,.,,,0,17
8,10.12-10.16,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,8,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
9,10.19-10.23,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,9,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
10,10.26-10.30,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,10,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
11,11. 2-11. 6,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,11,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
12,11. 9-11.13,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,12,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
13,11.16-11.20,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,13,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
14,11.23-11.27,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,14,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
15,11.30-12. 4,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,15,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
16,12. 7-12.11,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,16,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
17,12.14-12.18,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,17,1,5,4,3,3,3,2,2,2,3,28,0,1,29,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,1,4,3,2,3,2,2,3,,0,,,,.,.,.,.,,,1,29
18,12.21-12.25,5,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,성,탄,절,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25(금) 성탄절,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,18,1,4,3,3,3,2,2,2,1,2,23,0,0,23,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,1,3,3,1,2,2,2,2,,0,,,,.,.,.,.,,,0,23
19,12.28-12.31,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,19,1,4,3,3,3,2,2,2,1,2,23,0,0,23,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,1,3,3,1,2,2,2,2,,0,,,,.,.,.,.,,,0,23
,,94,5,89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,20,19,88,70,56,55,53,36,36,34,53,500,0,0,515,,,,,,,,,,,,,,,,,,,,,,88,0,0,0,0,56,19,70,55,34,53,36,36,53,0,0,0,0,0,0,0,0,0,0,0,15,515
